location,state_abbreviation,state_spelled_out,region,date,item,value,inflation_adjustment,value_inflation_adjusted,date_updated,max_date,latest_value_raw,latest_value_adjusted,min_date,oldest_value_raw,oldest_value_adjusted,p_change_oldest_newest_raw,p_change_oldest_newest_adjusted,compare_2020_value_raw,compare_2020_value_adjusted,p_change_2020_newest_adjusted,data_complete
Boston-Cambridge-Newton,MA,Massachusetts,Northeast,2026-08-05,All Food At Home,325.097,1,325.1,2026-09-24,2026-08-01,325.097,325.1,2016-01-01,249.096,346.24,30.510726788065632,-6.1,260.725,331.12,-1.8,True
Bridgeport-Stamford-Danbury,CT,Connecticut,Northeast,2026-08-05,All Food At Home,325.097,1,325.1,2026-09-24,2026-08-01,325.097,325.1,2016-01-01,249.096,346.24,30.510726788065632,-6.1,260.725,331.12,-1.8,True
Buffalo-Cheektowaga,NY,New York,Northeast,2026-08-05,All Food At Home,325.097,1,325.1,2026-09-24,2026-08-01,325.097,325.1,2016-01-01,249.096,346.24,30.510726788065632,-6.1,260.725,331.12,-1.8,True
Cape Coral-Fort Myers,FL,Florida,South,2026-08-05,All Food At Home,317.838,1,317.84,2026-09-24,2026-08-01,317.838,317.84,2016-01-01,239.421,337.58,32.75276604809103,-5.8,249.764,319.7,-0.6,True
Charleston-North Charleston,SC,South Carolina,South,2026-08-05,All Food At Home,317.838,1,317.84,2026-09-24,2026-08-01,317.838,317.84,2016-01-01,239.421,337.58,32.75276604809103,-5.8,249.764,319.7,-0.6,True
Charlotte-Concord-Gastonia,NC,North Carolina,South,2026-08-05,All Food At Home,317.838,1,317.84,2026-09-24,2026-08-01,317.838,317.84,2016-01-01,239.421,337.58,32.75276604809103,-5.8,249.764,319.7,-0.6,True
Chattanooga,TN,Tennessee,South,2026-08-05,All Food At Home,317.838,1,317.84,2026-09-24,2026-08-01,317.838,317.84,2016-01-01,239.421,337.58,32.75276604809103,-5.8,249.764,319.7,-0.6,True
Chicago-Naperville-Elgin,IL,Illinois,Midwest,2026-08-05,All Food At Home,303.65,1,303.65,2026-09-24,2026-08-01,303.65,303.65,2016-01-01,230.695,322.97,31.62400572184052,-6,235.377,301.28,0.8,True
Cincinnati,OH,Ohio,Midwest,2026-08-05,All Food At Home,303.65,1,303.65,2026-09-24,2026-08-01,303.65,303.65,2016-01-01,230.695,322.97,31.62400572184052,-6,235.377,301.28,0.8,True
Cleveland,OH,Ohio,Midwest,2026-08-05,All Food At Home,303.65,1,303.65,2026-09-24,2026-08-01,303.65,303.65,2016-01-01,230.695,322.97,31.62400572184052,-6,235.377,301.28,0.8,True
